stack_id,language,framework,total_tokens,handwritten_tokens,operational_tokens,handwritten_ratio,operational_ratio,normalized_tokens,config_heavy_stack,api_tokens,domain_tokens,persistence_tokens
django,python,django,3220,2622,598,0.814286,0.185714,2622,False,1313,798,511
express,javascript,express,3660,3546,114,0.968852,0.031148,3546,False,2209,994,343
fastapi,python,fastapi,3757,3327,430,0.885547,0.114453,3327,False,1812,959,556
gin,go,gin,10520,5004,5516,0.475665,0.524335,5004,True,3776,600,628
laravel,php,laravel,83736,3208,80528,0.038311,0.961689,3208,True,2307,390,511
nestjs,typescript,nestjs,29428,3685,25743,0.125221,0.874779,3685,True,2642,559,484
rails,ruby,rails,2594,2183,411,0.841557,0.158443,2183,False,1299,547,337
sinatra,ruby,sinatra,2514,2433,81,0.96778,0.03222,2433,False,1838,199,396
slim,php,slim,11051,4827,6224,0.436793,0.563207,4827,True,4251,0,576
springboot,java,springboot,5345,4811,534,0.900094,0.099906,4811,False,2706,1657,448
